epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,777.519,1.20244,0.81241,1.1022,0.81517,0.77927,0.84957,0.53087,1.41249,0.86631,1.27394,0.0011354,0.0011354,0.0011354
133,783.078,1.18625,0.79256,1.09564,0.84617,0.75913,0.8445,0.52835,1.41971,0.88004,1.27666,0.0011288,0.0011288,0.0011288
134,788.619,1.17789,0.79006,1.09568,0.81419,0.77554,0.84804,0.53533,1.40196,0.86178,1.29063,0.0011222,0.0011222,0.0011222
135,794.188,1.20937,0.81489,1.10728,0.84874,0.75913,0.85184,0.53414,1.43679,0.8669,1.30656,0.0011156,0.0011156,0.0011156
136,799.725,1.2001,0.80131,1.10764,0.84153,0.76826,0.85433,0.53132,1.43752,0.8589,1.28811,0.001109,0.001109,0.001109
137,805.25,1.20471,0.79305,1.10982,0.84408,0.77108,0.85684,0.54041,1.40757,0.84411,1.2808,0.0011024,0.0011024,0.0011024
138,810.786,1.18735,0.79813,1.10261,0.8274,0.78598,0.85643,0.53035,1.42086,0.85734,1.2926,0.0010958,0.0010958,0.0010958
139,816.329,1.18523,0.79884,1.09621,0.82914,0.77554,0.8515,0.53249,1.41988,0.86064,1.28245,0.0010892,0.0010892,0.0010892
140,821.912,1.16584,0.77509,1.0899,0.85185,0.76063,0.85212,0.53734,1.40108,0.84826,1.2654,0.0010826,0.0010826,0.0010826
141,827.473,1.17911,0.77851,1.09022,0.82263,0.76808,0.84757,0.53396,1.42447,0.85619,1.2781,0.001076,0.001076,0.001076
142,833.066,1.17628,0.7827,1.09101,0.82073,0.77032,0.84979,0.53561,1.41214,0.85949,1.27175,0.0010694,0.0010694,0.0010694
143,838.641,1.16159,0.77463,1.08891,0.8405,0.76361,0.85077,0.53325,1.4228,0.86833,1.27382,0.0010628,0.0010628,0.0010628
144,844.233,1.16354,0.77908,1.08701,0.83365,0.78151,0.8522,0.53305,1.41421,0.86753,1.27632,0.0010562,0.0010562,0.0010562
145,849.819,1.18047,0.78725,1.09442,0.81084,0.78896,0.85044,0.53252,1.41656,0.85297,1.29333,0.0010496,0.0010496,0.0010496
